Fecha,Hora,Megabytes Normal,Megabytes Picos
2023-10-17,17:05:10,1.81,1.97
2023-10-17,17:05:55,1.81,1.97
2023-10-17,17:08:08,1.81,1.97
2023-10-17,17:09:57,1.81,1.97
2023-10-17,17:10:03,1.78,58.28
2023-10-17,17:11:04,1.81,1.97
2023-10-17,17:11:09,1.81,1.97
2023-10-17,17:20:02,1.81,1.97
2023-10-17,17:21:36,1.81,1.97
2023-10-17,17:22:26,1.78,58.29
2023-10-17,17:22:43,1.81,1.97
2023-10-17,17:24:02,1.81,1.97
2023-10-17,17:24:34,1.81,1.97
2023-10-17,17:30:12,1.81,1.97
2023-10-17,17:31:51,1.81,1.97
2023-10-17,17:33:09,1.81,1.97
2023-10-17,17:35:58,1.81,1.97
2023-10-17,17:46:31,1.78,58.29
2023-10-17,17:47:20,1.81,1.97
2023-10-17,17:47:39,1.86,2.98
2023-10-17,17:53:22,37.13,45.47
2023-10-17,17:53:25,37.12,45.47
2023-10-17,17:53:33,37.12,45.47
2023-10-17,17:53:37,1.86,2.98
2023-10-17,17:53:39,1.86,2.98
2023-10-17,17:54:19,1.86,2.98
2023-10-17,18:40:10,37.34,45.49
2023-10-17,18:40:20,1.86,2.98
2023-10-17,18:40:27,37.34,45.49
2023-10-17,18:44:37,37.35,45.5
2023-10-17,18:45:46,37.35,45.5
2023-10-17,18:47:16,37.35,45.5
2023-10-17,19:03:00,37.35,45.5
2023-10-17,19:03:30,1.86,2.98
2023-10-17,19:04:04,37.35,45.5
2023-10-17,19:04:22,37.35,45.5
2023-10-17,19:06:06,37.35,45.5
2023-10-17,19:06:18,37.35,45.5
2023-10-17,19:06:38,37.35,45.5
2023-10-17,19:08:19,37.35,45.5
2023-10-17,19:27:44,37.13,45.47
2023-10-17,19:28:16,37.13,45.47
2023-10-17,19:28:21,1.86,2.98
2023-10-17,20:46:09,1.86,2.98
2023-10-17,20:46:50,1.86,2.98
2023-10-17,20:47:55,1.86,2.98
2023-10-17,20:48:53,37.78,46.15
2023-10-17,20:49:00,1.86,2.98
2023-10-17,20:52:42,1.81,1.97
2023-10-17,21:09:22,1.81,1.97
2023-10-17,21:09:36,1.86,2.98
2023-10-17,21:09:41,37.13,45.46
2023-10-17,21:21:05,37.13,45.46
2023-10-17,21:42:31,37.12,45.46
2023-10-20,18:40:13,1.81,1.97
2023-10-30,09:56:44,1.8,1.96
2023-10-30,09:56:49,1.86,2.89
2023-10-30,09:56:55,1.86,2.89
2023-10-30,09:57:16,1.86,2.89
2023-10-30,09:59:10,44.98,55.27
2023-10-30,09:59:27,1.82,1.97
2023-10-30,10:00:38,1.82,1.97
2023-10-30,10:02:06,1.82,1.97
2023-10-30,10:03:31,1.82,1.97
2023-10-30,10:04:38,1.82,1.96
2023-10-30,10:04:52,1.82,1.96
2023-10-30,10:05:11,1.82,1.97
2023-10-30,10:05:53,1.82,1.97
2023-10-30,10:06:09,1.82,1.97
2023-10-30,10:08:04,1.82,1.97
2023-10-30,10:08:19,1.82,1.96
2023-10-30,10:08:49,1.82,1.96
2023-10-30,10:11:27,1.85,2
2023-10-30,10:11:41,1.85,2
2023-10-30,10:11:44,1.85,2
2023-10-30,10:11:49,1.85,2
2023-10-30,10:12:33,1.85,2
2023-10-30,10:12:45,1.85,2
2023-10-30,10:12:53,1.85,2
2023-10-30,10:13:55,1.85,2
2023-10-30,10:14:27,1.85,2
2023-10-30,10:15:57,1.84,2
2023-10-30,10:16:17,1.85,2
2023-10-30,10:16:42,1.85,2
2023-10-30,10:16:56,1.96,2.11
2023-10-30,10:17:17,1.93,2.08
2023-10-30,10:17:42,1.93,2.08
2023-10-30,10:19:17,1.93,2.08
2023-10-30,10:19:52,1.78,58.24
2023-10-30,10:23:27,1.93,2.08
2023-10-30,10:25:36,1.93,2.08
2023-10-30,10:31:45,1.93,2.09
2023-10-30,10:33:49,1.92,2.08
2023-10-30,10:36:42,1.93,2.09
2023-10-30,10:38:20,1.93,2.09
2023-10-30,10:39:36,1.93,2.09
2023-10-30,11:16:53,1.9,2.05
2023-10-31,16:35:28,1.81,1.97
2023-10-31,16:35:52,1.81,1.97
2023-10-31,16:36:55,1.81,1.97
2023-10-31,16:53:04,1.8,1.96
2023-10-31,16:53:10,1.86,2.89
2023-10-31,16:57:54,1.82,1.96
2023-10-31,16:59:16,1.82,1.96
2023-10-31,17:00:00,1.82,1.96
2023-10-31,17:00:33,1.82,1.96
2023-10-31,17:00:42,1.93,2.09
2023-10-31,17:01:17,1.93,2.09
2023-10-31,17:02:18,1.93,2.09
2023-10-31,17:04:16,1.93,2.09
2023-10-31,17:04:29,1.93,2.09
2023-10-31,17:05:34,1.93,2.09
2023-10-31,17:07:13,1.86,2.89
